date,state,gdp,gdp_1st,gdp_2nd,gdp_3rd,avg_gdp,pop
2011,广西壮族自治区,11720.87,2047.23,5675.32,3998.33,25326,4645
2011,海南省,2522.66,659.23,714.5,1148.93,28898,877.34
2011,重庆市,10011.37,844.52,5543.04,3623.81,34500,2919
2011,四川省,21026.68,2983.51,11029.13,7014.04,26133,8050
2011,贵州省,5701.84,726.22,2194.33,2781.29,16413,3468.72
2011,云南省,8893.12,1411.01,3780.32,3701.79,19265,4630.8
2011,陕西省,12512.3,1220.9,6935.59,4355.81,33464,3742.6
2011,甘肃省,5020.37,678.75,2377.83,1963.79,19595,2564.19
2011,青海省,1670.44,155.08,975.18,540.18,29522,568.17
2011,宁夏回族自治区,2102.21,184.14,1056.15,861.92,33043,639.45
2011,新疆维吾尔自治区,6610.05,1139.03,3225.9,2245.12,30087,2208.71
2012,北京市,17879.4,150.2,4059.27,13669.93,87475,2069.3
2012,天津市,12893.88,171.6,6663.82,6058.46,93173,1413.15
2012,河北省,26575.01,3186.66,14003.57,9384.78,36584,7287.51
2012,山西省,12112.83,698.32,6731.56,4682.95,33628,3610.83
2012,内蒙古自治区,15880.5788,1448.58,8801.5,5630.5,63886,2489.85
2012,辽宁省,24846.43,2155.82,13230.49,9460.12,56649,4389
2012,吉林省,11939.24,1412.11,6376.77,4150.36,43415,2750.4
2012,黑龙江省,13691.58,2113.66,6037.61,5540.31,35711,3834
2012,上海市,20181.72,127.8,7854.77,12199.15,85373,2380.43
2012,江苏省,54058.22,3418.29,27121.95,23517.98,68347,7919.98
2012,浙江省,34665.33,1667.88,17316.32,15681.13,63374,5477
2012,安徽省,17212.0506,2178.73,9404.84,5628.48,28792,5988
2012,福建省,19701.78,1776.71,10187.94,7737.13,52763,3748
2012,江西省,12948.88,1520.23,6942.59,4486.06,28800,4503.9321
2012,山东省,50013.2449,4281.7,25735.73,19995.81,51768,9684.97
2012,河南省,29599.31,3769.54,16672.2,9157.57,31499,9406
2012,湖北省,22250.45,2848.77,11193.1,8208.58,38572,5779
2012,湖南省,22154.2275,3004.21,10506.42,8643.6,33480,6638.93
2012,广东省,57067.9177,2847.26,27700.97,26519.69,54095,10594
2012,广西壮族自治区,13035.1015,2172.37,6247.43,4615.3,27952,4682
2012,海南省,2855.54,711.54,804.47,1339.53,32377,886.55
2012,重庆市,11409.6,940.01,5975.18,4494.41,38914,2945
2012,四川省,23872.8,3297.21,12333.28,8242.31,29608,8076.2
2012,贵州省,6852.2,891.91,2677.54,3282.75,19710,3484.07
2012,云南省,10309.47,1654.55,4419.2,4235.72,22195,4659
2012,陕西省,14453.68,1370.16,8073.87,5009.65,38564,3753.09
2012,甘肃省,5650.204,780.5,2600.09,2269.61,21978,2577.55
2012,青海省,1893.54,176.91,1092.34,624.29,33181,573.17
2012,宁夏回族自治区,2341.29,199.4,1159.37,982.52,36394,647.19
2012,新疆维吾尔自治区,7505.31,1320.57,3481.56,2703.18,33796,2232.78
2013,北京市,19800.81,161.83,4352.3,14986.43,94647.8813,2114.8
2013,天津市,14442.01,188.45,7276.68,6905.03,100105.4288,1472.21
2013,河北省,28442.95,3500.42,14762.1,10038.89,38909,7332.61
2013,山西省,12665.25,773.81,6792.68,5035.75,34983.8343,3629.8
2013,内蒙古自治区,16916.5029,1599.41,9084.19,6148.78,67835.6008,2497.61
2013,辽宁省,27213.22,2321.63,14269.46,10486.56,61996.1727,4390
2013,吉林省,13046.4,1509.34,6858.23,4613.89,47428,2751.28
2013,黑龙江省,14454.9056,2516.79,5918.22,5947.92,37696.9665,3835.02
2013,上海市,21818.15,129.28,8027.77,13445.07,90993,2415.15
2013,江苏省,59753.37,3646.08,29094.03,26421.64,75354,7939.49
2013,浙江省,37756.58,1784.62,18446.65,17337.22,68804.7198,5498
2013,安徽省,19229.3371,2348.09,10403.96,6286.82,32000.8938,6029.8
2013,福建省,21868.49,1936.31,11315.3,8508.03,58145,3774
