date,state,total,avg,intensity,coal_co2,coke_co2,gasoline_co2,kerosene_co2,diesel_co2,fuel_co2,gas_co2
2006,重庆市,9834.204,3.5022,2.517,7105.8234,942.6527,252.5125,69.886,578.2677,8.4335,867.0425
2006,四川省,24174.667,2.9593,2.782,16235.1873,2874.4105,788.7575,321.4269,1099.2201,30.1198,2296.5259
2006,贵州省,21208.949,5.6449,9.068,18910.9163,1366.2235,231.1916,29.2482,526.1291,38.0777,107.1626
2006,云南省,19464.585,4.3419,4.881,14236.0014,3585.6314,375.225,106.4842,1028.0797,14.9648,117.9871
2006,陕西省,21437.586,5.7396,4.519,14080.1703,825.4619,616.9599,105.6946,688.1246,3.1388,615.4811
2006,甘肃省,13819.341,5.3029,6.07,7532.9605,1344.2001,257.8135,14.2141,364.5675,44.5455,259.1385
2006,青海省,2944.23,5.3727,4.54,1736.0045,256.3477,53.8588,,83.7876,0.1902,493.1642
2006,宁夏回族自治区,8008.046,13.2584,11.032,6639.6809,361.3096,55.5574,6.8337,242.2184,3.1071,171.8931
2006,新疆维吾尔自治区,17550.824,8.5614,5.763,8440.7768,660.4153,345.0594,93.7887,1057.0628,61.2224,1408.051
2007,北京市,13113.708,8.0304,1.332,5678.9316,1025.8203,951.0075,841.6081,595.2236,135.8559,1009.7094
2007,天津市,14127.898,12.6708,2.69,7471.3321,1912.3692,410.4573,58.8609,808.5518,284.1719,308.9312
2007,河北省,67607.595,9.7375,4.969,46708.45,14684.1604,729.3634,18.8914,1651.3875,153.1669,260.8705
2007,山西省,64241.45,18.9335,10.664,55565.4614,7235.271,365.5603,36.1427,843.7966,45.6235,149.5946
2007,内蒙古自治区,42270.083,17.5759,6.581,35259.9041,3474.2544,691.5246,19.5596,1796.2101,22.8276,573.915
2007,辽宁省,57952.996,13.4837,5.191,28967.3137,6583.6192,1294.8368,115.8692,2150.3623,710.8895,308.2818
2007,吉林省,21219.444,7.7727,4.015,14929.6497,1169.6454,597.2205,22.6879,1251.6992,126.5664,140.069
2007,黑龙江省,28570.084,7.4713,4.022,18746.6181,649.8762,1101.2205,11.6932,1543.1114,149.6159,664.6243
2007,上海市,23657.101,12.7326,1.894,10007.3077,2089.7878,877.6142,897.3407,1293.1436,2690.518,601.4092
2007,江苏省,55854.135,7.3251,2.147,37962.2899,5397.5923,1410.3448,63.1434,1884.6474,750.1086,965.1124
2007,浙江省,37798.321,7.47,2.016,24780.9931,934.777,1309.3925,150.2807,2710.4651,720.6229,391.6304
2007,安徽省,23602.034,3.8578,3.206,18615.5221,2318.8998,336.5369,34.4418,803.3442,41.9774,87.2455
2007,福建省,16501.447,4.6081,1.784,11639.1013,1019.6057,773.6747,149.0961,1448.0096,396.1223,10.3915
2007,江西省,13982.176,3.201,2.411,9836.94,1711.6098,206.7955,23.6902,915.2779,66.422,22.515
2007,山东省,87506.502,9.342,3.395,60320.8795,7427.3528,1677.5301,97.2511,3989.2566,1164.3344,505.0712
2007,河南省,53375.018,5.7025,3.555,44087.4617,4115.5675,617.6628,51.7235,1427.4889,199.044,717.4479
2007,湖北省,29337.711,5.1479,3.143,20044.2215,2348.398,1616.3788,109.2785,1889.0801,391.6836,186.8309
2007,湖南省,26557.418,4.179,2.813,19554.79,2623.0174,795.6399,74.4114,1224.545,127.4541,126.4302
2007,广东省,46767.907,4.9495,1.472,23962.5467,1320.172,2453.4599,519.7864,4458.1634,4173.773,989.1428
2007,广西壮族自治区,12868.063,2.6988,2.21,9079.9508,1490.4308,579.004,0.82,1160.1311,66.1049,29.0097
2007,海南省,4409.141,5.2179,3.516,787.87,65.8411,136.4774,196.4157,183.5392,63.9807,506.5866
2007,重庆市,10715.227,3.8051,2.292,7760.5235,926.128,253.2154,82.0348,725.6942,24.8567,942.381
2007,四川省,27013.884,3.324,2.558,17980.7243,3276.4448,967.7596,390.6447,1222.0342,22.7325,2427.9354
2007,贵州省,22687.785,6.0308,7.867,20226.3669,1392.0272,250.8432,29.552,568.8133,108.9067,111.2759
2007,云南省,20336.834,4.5053,4.261,14499.4302,3944.7072,463.0568,109.8859,1184.5886,15.9793,118.853
2007,陕西省,23661.633,6.3131,4.11,15019.4381,1165.6073,839.8633,5.4062,867.603,3.5827,894.9697
2007,甘肃省,15370.926,5.8735,5.688,8476.89,1608.2517,256.7298,16.6439,353.1912,45.4333,280.7875
2007,青海省,3266.284,5.9172,4.096,2013.4181,276.71,48.0893,6.1351,149.8753,0.5707,438.3923
