state,Pop,GDP,GDP-1,GDP-2,GDP-3
Liaoning,4203,5458.22,590.2,2609.85,2258.17
Liaoning,4210,6002.54,615.8,2898.89,2487.85
Liaoning,4217,6672,769.8962,3278.8848,2823.8711
Liaoning,4221,8047.26,882.41,3953.28,3173.32
Liaoning,4271,9304.52,976.37,4729.5,3545.28
Liaoning,4298,11164.3,1133.4,5853.1,4036.99
Liaoning,4314.7,13668.58,1302,7512.11,4647.46
Liaoning,4319,15212.49,1414.9,7906.34,5891.25
Liaoning,4374.9,18457.27,1631.08,9976.82,6849.37
Liaoning,4383,22226.7,1915.57,12152.15,8158.98
Liaoning,4389,24846.43,2155.82,13230.49,9460.12
Liaoning,4390,27213.22,2321.63,14269.46,10486.56
Liaoning,4391,28626.58,2285.75,14384.64,11956.19
Liaoning,4382.4,28669.016,2384.03,13041.97,13243.016
Liaoning,4378,22246.9,2173.06,8606.54,11467.3
Liaoning,4369,23409.24,1902.28,9199.8,12307.16
Liaoning,4359,25315.35,2033.3,10025.1,13256.95
Liaoning,4352,24909.45,2177.77,9531.24,13200.44
Inner Mongolia,2372,1401.01,350.8,556.28,493.93
Inner Mongolia,2377,1713.81,358.89,626.47,560.43
Inner Mongolia,2379,1940.94,374.69,728.34,631.28
Inner Mongolia,2379.61,2388.38,420.0993,973.9356,756.38
Inner Mongolia,2384,3041.07,506.07,1332.4728,873.5345
Inner Mongolia,2403,3905.03,589.56,1773.21,1532.78
Inner Mongolia,2397,4944.25,649.62,2327.44,1814.42
Inner Mongolia,2405,6423.18,762.1,3154.56,2174.46
Inner Mongolia,2413.73,8496.2,906.98,4271.03,2583.79
Inner Mongolia,2422.07,9740.25,929.6,5114,3696.65
Inner Mongolia,2472.1786,11672,1095.28,6367.69,4209.02
Inner Mongolia,2481.71,14359.88,1306.3,8037.69,5015.89
Inner Mongolia,2489.85,15880.5788,1448.58,8801.5,5630.5
Inner Mongolia,2497.61,16916.5029,1599.41,9084.19,6148.78
Inner Mongolia,2504.81,17770.1888,1627.852,9119.79,7022.5468
Inner Mongolia,2511.04,17831.5088,1617.4219,9000.577,7213.5099
Inner Mongolia,2520,18128.1,1637.39,8553.63,7937.08
Inner Mongolia,2529,16096.21,1649.77,6399.68,8046.76
Inner Mongolia,2534,17289.22,1753.82,6807.3,8728.1
Inner Mongolia,2540,17212.53,1863.19,6818.88,8530.46
Ningxia,554,265.57,45.95,120.04,99.58
Ningxia,563,337.4447,49.57,134.37,114.44
Ningxia,572,377.1552,52.84,151.16,125.28
Ningxia,580.3,445.36,55.5,192,137.84
Ningxia,588,537.16,65.13,239.42,155.8
Ningxia,596,612.61,72.08,281.23,252.79
Ningxia,604,725.9,79.54,349.83,281.39
Ningxia,610,919.11,97.89,451.82,339.49
Ningxia,617.69,1203.92,120,581.24,397.27
Ningxia,625.2,1353.31,127.25,662.32,563.74
Ningxia,632.96,1689.65,159.29,827.91,702.45
Ningxia,639.45,2102.21,184.14,1056.15,861.92
Ningxia,647.19,2341.29,199.4,1159.37,982.52
Ningxia,654.19,2577.57,222.98,1264.96,1077.12
Ningxia,661.54,2752.1,216.99,1341.24,1193.87
Ningxia,667.88,2911.77,237.76,1379.6,1294.41
Ningxia,675,3168.59,241.6,1488.44,1438.55
Ningxia,682,3443.56,250.62,1580.57,1612.37
Ningxia,688,3705.18,279.85,1650.26,1775.07
Ningxia,695,3748.48,279.93,1584.72,1883.83
Qinghai,517,263.59,38.53,114,111.06
Qinghai,523,300.13,42.79,132.18,125.98
Qinghai,529,340.65,44.9,154.01,142.2
Qinghai,533.8,390.2,46.15,184.26,159.8
Qinghai,539,466.1,57.81,227.06,180.86
Qinghai,543,543.32,65.34,264.61,213.37
Qinghai,548,648.5,69.64,331.16,240.78
Qinghai,552,797.35,83.41,417.78,282.42
Qinghai,554.3,1018.62,105.58,529.4,326.55
Qinghai,557.3,1081.27,107.4,575.33,398.54
Qinghai,563,1350.43,134.92,744.63,470.88
Qinghai,568.17,1670.44,155.08,975.18,540.18
Qinghai,573.17,1893.54,176.91,1092.34,624.29
Qinghai,577.79,2122.06,207.59,1204.31,689.15
Qinghai,583.42,2303.32,215.93,1234.31,853.08
Qinghai,588.43,2417.05,208.93,1207.31,1000.81
Qinghai,593,2572.49,221.19,1249.98,1101.32
Qinghai,598,2624.83,238.41,1162.41,1224.01
Qinghai,603,2865.23,268.1,1247.06,1350.07
Qinghai,608,2965.95,301.9,1159.75,1504.3
Shandong,8998,8542.44,1268.57,4244.4,3029.47
Shandong,9041,9195.036,1359.49,4654.51,3424.31
Shandong,9082,10275.4957,1390,5309.54,3852.52
Shandong,9125,12078.15,1480.67,6656.85,4298.41
Shandong,9180,15021.84,1778.3,8724.52,4987.91
Shandong,9248,18366.87,1963.51,10628.62,5924.74
Shandong,9309,21900.19,2138.9,12751.2,7187.26
Shandong,9367,25776.91,2509.14,14776.53,8680.24
Shandong,9417.23,30933.28,3002.65,17702.17,10367.23
Shandong,9470.3,33896.65,3226.64,18901.83,11768.18
Shandong,9587.8641,39169.92,3588.28,21238.49,14343.14
Shandong,9637,45361.85,3973.85,24017.11,17370.89
Shandong,9684.97,50013.2449,4281.7,25735.73,19995.81
Shandong,9733.39,55230.3249,4742.63,27422.47,22519.23
Shandong,9789.43,59426.5902,4798.36,28788.1074,25840.1228
Shandong,9847.16,63002.3325,4979.0794,29485.9021,28537.3509
Shandong,9947,68024.49,4929.13,31343.67,31751.69
Shandong,10005.83,72634.1491,4832.7119,32942.8429,34858.6
Shandong,10047,76469.67,4950.52,33641.72,37877.43
Shandong,10070,71067.53,5116.44,28310.92,37640.17
Shanxi,3248,1643.81,179.86,827.59,636.36
Shanxi,3272,2029.53,171.09,917.98,690.9
Shanxi,3294,2324.8,197.8,1083.79,735.95
Shanxi,3314.29,2855.23,215.19,1389.33,852.07
Shanxi,3335,3571.37,253.37,1810.08,978.96
Shanxi,3355,4230.53,262.42,2353.16,1563.94
Shanxi,3375,4878.61,276.77,2748.33,1727.44
Shanxi,3393,6024.45,269.68,3438.58,2025.09
Shanxi,3410.61,7315.4,302.48,4265.77,2370.48
Shanxi,3427.36,7358.31,477.59,3993.8,2886.92
Shanxi,3574.1145,9200.86,554.48,5234,3412.38
Shanxi,3593,11237.55,641.42,6635.26,3960.87
Shanxi,3610.83,12112.83,698.32,6731.56,4682.95
Shanxi,3629.8,12665.25,773.81,6792.68,5035.75
Shanxi,3647.96,12761.49,788.89,6293.91,5678.69
Shanxi,3664.12,12766.49,783.16,5194.27,6789.06
Shanxi,3682,13050.41,784.78,5028.99,7236.64
Shanxi,3702,15528.42,719.16,6778.89,8030.37
Shanxi,3718,16818.11,740.64,7089.19,8988.28
Shanxi,3729,17026.68,824.72,7453.09,8748.87
Shaanxi,3644,1660.92,279.12,731.9,649.9
Shaanxi,3659,2010.62,287.24,816.34,740.69
Shaanxi,3674,2253.39,303.79,925.78,806.39
Shaanxi,3689.5,2587.72,320.03,1133.56,944.99
Shaanxi,3705,3175.58,394.98,1416.82,1071.71
Shaanxi,3690,3933.72,435.77,1849.28,1390.61
Shaanxi,3735,4743.61,488.48,2440.5,1594.76
Shaanxi,3748,5757.29,592.63,2964.56,1908.6
Shaanxi,3762,7314.58,753.72,3842.08,2255.52
Shaanxi,3772,8169.8,789.64,4236.42,3143.74
Shaanxi,3735.2267,10123.48,988.45,5446.1,3688.93
Shaanxi,3742.6,12512.3,1220.9,6935.59,4355.81
Shaanxi,3753.09,14453.68,1370.16,8073.87,5009.65
Shaanxi,3764,16205.45,1526.05,8911.64,5607.52
Shaanxi,3775.12,17689.94,1564.94,9577.24,6547.76
Shaanxi,3793,18021.8609,1597.63,9082.13,7342.1009
Shaanxi,3813,19399.59,1693.85,9490.72,8215.02
Shaanxi,3835,21898.81,1741.45,10882.88,9274.48
Shaanxi,3864,24438.32,1830.19,12157.48,10450.65
Shaanxi,3876,25793.17,1990.93,11980.75,11821.49
Shanghai,1641,4551.15,83.2,2163.68,2304.27
Shanghai,1614,5210.12,85.5,2355.53,2509.81
Shanghai,1625,5741.03,88.24,2564.69,2755.83
Shanghai,1711,6694.23,90.64,3130.72,3029.45
Shanghai,1742,8072.83,96.71,3788.22,3565.34
Shanghai,1890,9247.66,80.34,4452.92,4620.92
Shanghai,1815,10572.24,93.8,5028.37,5244.2
Shanghai,1858,12494.01,101.84,5678.51,6408.5
Shanghai,1888.46,14069.86,111.8,6235.92,7350.43
Shanghai,1921,15046.45,113.82,6001.78,8930.85
Shanghai,2302.6608,17165.98,114.15,7218.32,9833.51
Shanghai,2347.46,19195.69,124.94,7927.89,11142.86
Shanghai,2380.43,20181.72,127.8,7854.77,12199.15
Shanghai,2415.15,21818.15,129.28,8027.77,13445.07
Shanghai,2425.68,23567.6953,124.26,8167.7108,15275.7245
Shanghai,2415.27,25123.45,109.82,7991,17022.63
Shanghai,2420,28178.65,109.47,8406.28,19662.9
Shanghai,2418,30632.99,110.78,9330.67,21191.54
Shanghai,2424,32679.87,104.37,9732.54,22842.96
Shanghai,2428,38155.32,103.88,10299.16,27752.28
Sichuan,8602,4010.25,945.58,1700.49,1364.18
Sichuan,8640,4293.491,981.68,1756.86,1683.22
Sichuan,8673,4725.0134,1027.62,1982.44,1865.06
Sichuan,8700.4,5333.09,1128.61,2266.06,2061.65
