state,GDP,GDP-1,GDP-2,GDP-3,Pop
Shaanxi,24438.32,1830.19,12157.48,10450.65,3864
Shaanxi,25793.17,1990.93,11980.75,11821.49,3876
Shanghai,4551.15,83.2,2163.68,2304.27,1641
Shanghai,5210.12,85.5,2355.53,2509.81,1614
Shanghai,5741.03,88.24,2564.69,2755.83,1625
Shanghai,6694.23,90.64,3130.72,3029.45,1711
Shanghai,8072.83,96.71,3788.22,3565.34,1742
Shanghai,9247.66,80.34,4452.92,4620.92,1890
Shanghai,10572.24,93.8,5028.37,5244.2,1815
Shanghai,12494.01,101.84,5678.51,6408.5,1858
Shanghai,14069.86,111.8,6235.92,7350.43,1888.46
Shanghai,15046.45,113.82,6001.78,8930.85,1921
Shanghai,17165.98,114.15,7218.32,9833.51,2302.6608
Shanghai,19195.69,124.94,7927.89,11142.86,2347.46
Shanghai,20181.72,127.8,7854.77,12199.15,2380.43
Shanghai,21818.15,129.28,8027.77,13445.07,2415.15
Shanghai,23567.6953,124.26,8167.7108,15275.7245,2425.68
Shanghai,25123.45,109.82,7991,17022.63,2415.27
Shanghai,28178.65,109.47,8406.28,19662.9,2420
Shanghai,30632.99,110.78,9330.67,21191.54,2418
Shanghai,32679.87,104.37,9732.54,22842.96,2424
Shanghai,38155.32,103.88,10299.16,27752.28,2428
Sichuan,4010.25,945.58,1700.49,1364.18,8602
Sichuan,4293.491,981.68,1756.86,1683.22,8640
Sichuan,4725.0134,1027.62,1982.44,1865.06,8673
Sichuan,5333.09,1128.61,2266.06,2061.65,8700.4
