state,electri_consump,GDP,GDP-1,GDP-2,GDP-3,Pop
Jiangxi,1087,16723.78,1772.98,8411.57,6539.23,4565.63
Jiangxi,1182.5,18499,1904.53,8829.54,7764.93,4592
Jiangxi,1293.98,20006.31,1835.26,9627.98,8543.07,4622
Jiangxi,1428.77,21984.78,1877.33,10250.21,9857.24,4648
Jiangxi,1535.7,24757.5,2057.56,10939.83,11760.11,4666
Liaoning,748.89,4669.06,503.44,2344.4,1821.22,4184
Liaoning,809.42,5033.08,544.44,2440.55,2048.09,4194
Liaoning,859.2,5458.22,590.2,2609.85,2258.17,4203
Liaoning,886.88,6002.54,615.8,2898.89,2487.85,4210
Liaoning,1058.1,6672,769.8962,3278.8848,2823.8711,4217
Liaoning,1110.56,8047.26,882.41,3953.28,3173.32,4221
Liaoning,1228.28,9304.52,976.37,4729.5,3545.28,4271
Liaoning,1359.51,11164.3,1133.4,5853.1,4036.99,4298
Liaoning,1411.99,13668.58,1302,7512.11,4647.46,4314.7
Liaoning,1488.17,15212.49,1414.9,7906.34,5891.25,4319
Liaoning,1715.26,18457.27,1631.08,9976.82,6849.37,4374.9
Liaoning,1862,22226.7,1915.57,12152.15,8158.98,4383
Liaoning,1899.88,24846.43,2155.82,13230.49,9460.12,4389
Liaoning,2008.46,27213.22,2321.63,14269.46,10486.56,4390
Liaoning,2038.73,28626.58,2285.75,14384.64,11956.19,4391
Liaoning,1985,28669.016,2384.03,13041.97,13243.016,4382.4
Liaoning,2037.4,22246.9,2173.06,8606.54,11467.3,4378
Liaoning,2135.5,23409.24,1902.28,9199.8,12307.16,4369
Liaoning,2302.38,25315.35,2033.3,10025.1,13256.95,4359
Liaoning,2401.47,24909.45,2177.77,9531.24,13200.44,4352
Inner Mongolia,254.21,1401.01,350.8,556.28,493.93,2372
Inner Mongolia,279.68,1713.81,358.89,626.47,560.43,2377
Inner Mongolia,320.44,1940.94,374.69,728.34,631.28,2379
Inner Mongolia,406.62,2388.38,420.0993,973.9356,756.38,2379.61
Inner Mongolia,535.58,3041.07,506.07,1332.4728,873.5345,2384
Inner Mongolia,667.72,3905.03,589.56,1773.21,1532.78,2403
Inner Mongolia,884.91,4944.25,649.62,2327.44,1814.42,2397
Inner Mongolia,1160.21,6423.18,762.1,3154.56,2174.46,2405
Inner Mongolia,1220.57,8496.2,906.98,4271.03,2583.79,2413.73
Inner Mongolia,1287.93,9740.25,929.6,5114,3696.65,2422.07
Inner Mongolia,1536.83,11672,1095.28,6367.69,4209.02,2472.1786
Inner Mongolia,1834,14359.88,1306.3,8037.69,5015.89,2481.71
Inner Mongolia,2016.78,15880.5788,1448.58,8801.5,5630.5,2489.85
Inner Mongolia,2181.9,16916.5029,1599.41,9084.19,6148.78,2497.61
Inner Mongolia,2416.74,17770.1888,1627.852,9119.79,7022.5468,2504.81
Inner Mongolia,2543,17831.5088,1617.4219,9000.577,7213.5099,2511.04
Inner Mongolia,2605.03,18128.1,1637.39,8553.63,7937.08,2520
Inner Mongolia,2891.87,16096.21,1649.77,6399.68,8046.76,2529
Inner Mongolia,3353.44,17289.22,1753.82,6807.3,8728.1,2534
Inner Mongolia,3653.02,17212.53,1863.19,6818.88,8530.46,2540
Ningxia,136.17,265.57,45.95,120.04,99.58,554
Ningxia,151.81,337.4447,49.57,134.37,114.44,563
Ningxia,178.76,377.1552,52.84,151.16,125.28,572
Ningxia,212,445.36,55.5,192,137.84,580.3
Ningxia,272.83,537.16,65.13,239.42,155.8,588
Ningxia,302.88,612.61,72.08,281.23,252.79,596
Ningxia,377.85,725.9,79.54,349.83,281.39,604
Ningxia,439.78,919.11,97.89,451.82,339.49,610
Ningxia,439.62,1203.92,120,581.24,397.27,617.69
Ningxia,470.32,1353.31,127.25,662.32,563.74,625.2
Ningxia,546.77,1689.65,159.29,827.91,702.45,632.96
Ningxia,725,2102.21,184.14,1056.15,861.92,639.45
Ningxia,741.8,2341.29,199.4,1159.37,982.52,647.19
Ningxia,811.18,2577.57,222.98,1264.96,1077.12,654.19
Ningxia,848.75,2752.1,216.99,1341.24,1193.87,661.54
Ningxia,878,2911.77,237.76,1379.6,1294.41,667.88
Ningxia,886.91,3168.59,241.6,1488.44,1438.55,675
Ningxia,978.3,3443.56,250.62,1580.57,1612.37,682
Ningxia,1064.85,3705.18,279.85,1650.26,1775.07,688
Ningxia,1083.9,3748.48,279.93,1584.72,1883.83,695
Qinghai,109.1,263.59,38.53,114,111.06,517
Qinghai,111.81,300.13,42.79,132.18,125.98,523
Qinghai,132.67,340.65,44.9,154.01,142.2,529
Qinghai,158.51,390.2,46.15,184.26,159.8,533.8
Qinghai,199.64,466.1,57.81,227.06,180.86,539
Qinghai,206.56,543.32,65.34,264.61,213.37,543
Qinghai,246.04,648.5,69.64,331.16,240.78,548
Qinghai,287.11,797.35,83.41,417.78,282.42,552
Qinghai,313.23,1018.62,105.58,529.4,326.55,554.3
Qinghai,337.24,1081.27,107.4,575.33,398.54,557.3
Qinghai,465.18,1350.43,134.92,744.63,470.88,563
Qinghai,561,1670.44,155.08,975.18,540.18,568.17
Qinghai,602.22,1893.54,176.91,1092.34,624.29,573.17
Qinghai,676.29,2122.06,207.59,1204.31,689.15,577.79
Qinghai,723.21,2303.32,215.93,1234.31,853.08,583.42
Qinghai,658,2417.05,208.93,1207.31,1000.81,588.43
Qinghai,637.51,2572.49,221.19,1249.98,1101.32,593
Qinghai,687.01,2624.83,238.41,1162.41,1224.01,598
Qinghai,738.34,2865.23,268.1,1247.06,1350.07,603
Qinghai,716.47,2965.95,301.9,1159.75,1504.3,608
Shandong,1000.71,8542.44,1268.57,4244.4,3029.47,8998
Shandong,1560.2,9195.036,1359.49,4654.51,3424.31,9041
Shandong,1230.02,10275.4957,1390,5309.54,3852.52,9082
Shandong,1395.72,12078.15,1480.67,6656.85,4298.41,9125
Shandong,1693.71,15021.84,1778.3,8724.52,4987.91,9180
Shandong,1911.61,18366.87,1963.51,10628.62,5924.74,9248
Shandong,2312.04,21900.19,2138.9,12751.2,7187.26,9309
Shandong,2596.05,25776.91,2509.14,14776.53,8680.24,9367
Shandong,2726.98,30933.28,3002.65,17702.17,10367.23,9417.23
Shandong,2941.07,33896.65,3226.64,18901.83,11768.18,9470.3
Shandong,3298.46,39169.92,3588.28,21238.49,14343.14,9587.8641
Shandong,3635,45361.85,3973.85,24017.11,17370.89,9637
Shandong,3794.55,50013.2449,4281.7,25735.73,19995.81,9684.97
Shandong,4083.12,55230.3249,4742.63,27422.47,22519.23,9733.39
Shandong,4223.49,59426.5902,4798.36,28788.1074,25840.1228,9789.43
Shandong,5117,63002.3325,4979.0794,29485.9021,28537.3509,9847.16
Shandong,5390.75,68024.49,4929.13,31343.67,31751.69,9947
Shandong,5430.16,72634.1491,4832.7119,32942.8429,34858.6,10005.83
Shandong,5916.77,76469.67,4950.52,33641.72,37877.43,10047
Shandong,6218.72,71067.53,5116.44,28310.92,37640.17,10070
Shanxi,501.99,1643.81,179.86,827.59,636.36,3248
Shanxi,557.08,2029.53,171.09,917.98,690.9,3272
